MESA,TOTALMESAS,ELECTORES,EMITIDOS,PORCENTAJE,COLEGIO,COMUNA,CIRCUNSCRIPCION
122,1,348,140,40.23,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO
123,1,342,157,45.91,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO
124,1,345,156,45.22,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO
125,1,343,145,42.27,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO
126,1,345,139,40.29,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO
127,1,349,159,45.56,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO
128,1,346,162,46.82,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO
129,1,343,152,44.31,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO
130,1,348,161,46.26,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO
131,1,345,124,35.94,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO
132,1,347,158,45.53,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO
133,1,350,151,43.14,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO
134,1,350,147,42.0,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO
135,1,334,159,47.6,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO
136,1,316,208,65.82,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO
137,1,248,134,54.03,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO
138,1,264,169,64.02,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO
139,1,261,112,42.91,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO
1M-140,1,365,174,47.67,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO
2M,1,330,155,46.97,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO
3M,1,332,156,46.99,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO
4M,1,332,159,47.89,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO
5M,1,335,159,47.46,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO
6M,1,338,162,47.93,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO
7M,1,333,157,47.15,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO
8M,1,339,162,47.79,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO
9M,1,341,149,43.7,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO
10M,1,341,164,48.09,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO
11M,1,340,177,52.06,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO
12M,1,339,181,53.39,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO
13M,1,343,189,55.1,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO
14M,1,336,172,51.19,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO
15M,1,337,177,52.52,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO
16M,1,335,185,55.22,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO
17M,1,344,184,53.49,COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO
50,1,334,118,35.33,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO
51,1,337,153,45.4,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO
52,1,334,122,36.53,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO
53,1,336,140,41.67,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO
54,1,336,135,40.18,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO
55,1,327,138,42.2,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO
56,1,334,127,38.02,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO
57,1,337,144,42.73,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO
58,1,331,143,43.2,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO
59,1,339,146,43.07,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO
60,1,336,155,46.13,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO
61,1,335,144,42.99,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO
62,1,339,153,45.13,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO
63,1,338,161,47.63,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO
64,1,337,155,45.99,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO
65,1,337,131,38.87,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO
66,1,335,137,40.9,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO
67,1,334,150,44.91,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO
9V,1,345,171,49.57,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO
10V,1,343,163,47.52,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO
11V,1,341,183,53.67,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO
12V,1,343,172,50.15,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO
13V,1,337,171,50.74,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO
14V,1,344,170,49.42,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO
15V,1,341,160,46.92,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO
16V,1,342,175,51.17,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO
17V,1,344,193,56.1,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO
18V,1,344,173,50.29,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO
19V,1,341,190,55.72,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO
20V,1,341,147,43.11,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO
21V,1,342,151,44.15,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO
22V,1,341,179,52.49,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO
23V,1,344,160,46.51,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO
24V,1,345,170,49.28,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO
25V,1,344,165,47.97,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO
26V,1,342,153,44.74,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO
86,1,341,165,48.39,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO
87,1,334,127,38.02,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO
88,1,336,109,32.44,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO
89,1,332,129,38.86,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO
90,1,341,137,40.18,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO
91,1,344,159,46.22,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO
92,1,339,146,43.07,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO
93,1,335,154,45.97,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO
94,1,343,174,50.73,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO
95,1,339,153,45.13,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO
96,1,340,170,50.0,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO
97,1,342,162,47.37,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO
98,1,342,160,46.78,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO
99,1,340,168,49.41,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO
100,1,335,154,45.97,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO
101,1,339,149,43.95,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO
102,1,341,144,42.23,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO
103,1,338,140,41.42,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO
28M,1,339,168,49.56,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO
29M,1,336,160,47.62,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO
30M,1,345,161,46.67,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO
31M,1,342,166,48.54,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO
32M,1,340,163,47.94,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO
33M,1,341,166,48.68,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO
34M,1,344,178,51.74,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO
35M,1,343,167,48.69,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO
36M,1,342,171,50.0,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO
37M,1,331,115,34.74,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO
1V,1,340,125,36.76,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO
2V,1,342,156,45.61,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO
3V,1,333,138,41.44,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO
4V,1,342,164,47.95,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO
5V,1,346,147,42.49,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO
6V,1,341,117,34.31,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO
7V,1,341,153,44.87,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO
8V,1,341,139,40.76,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO
1M-4M,1,418,82,19.62,ESCUELA CAMIÑA,CAMI A,CAMI A
2M-3M,1,396,96,24.24,ESCUELA CAMIÑA,CAMI A,CAMI A
5M-6M-7M-3V,1,442,83,18.78,ESCUELA CAMIÑA,CAMI A,CAMI A
8M-1V,1,394,81,20.56,ESCUELA CAMIÑA,CAMI A,CAMI A
2V-4V-5V-10,1,436,84,19.27,ESCUELA CAMIÑA,CAMI A,CAMI A
6V-7V-8V,1,344,61,17.73,ESCUELA CAMIÑA,CAMI A,CAMI A
9V,1,119,26,21.85,ESCUELA CAMIÑA,CAMI A,CAMI A
1M-7M,1,436,99,22.71,LICEO TECNICO PROFESIONAL COLCHANE,COLCHANE,COLCHANE
2M-2V,1,432,78,18.06,LICEO TECNICO PROFESIONAL COLCHANE,COLCHANE,COLCHANE
4M-1V,1,439,101,23.01,LICEO TECNICO PROFESIONAL COLCHANE,COLCHANE,COLCHANE
5M-3V,1,438,61,13.93,LICEO TECNICO PROFESIONAL COLCHANE,COLCHANE,COLCHANE
6M-5V,1,444,66,14.86,LICEO TECNICO PROFESIONAL COLCHANE,COLCHANE,COLCHANE
6V-7V,1,391,55,14.07,LICEO TECNICO PROFESIONAL COLCHANE,COLCHANE,COLCHANE
8V-9V,1,415,64,15.42,LICEO TECNICO PROFESIONAL COLCHANE,COLCHANE,COLCHANE
1M-1V,1,115,31,26.96,ESCUELA CHIAPA,HUARA,CHIAPA
1V-19,1,434,79,18.2,GIMNASIO MUNICIPAL TECHADO DE HUARA,HUARA,HUARA
2V,1,305,29,9.51,GIMNASIO MUNICIPAL TECHADO DE HUARA,HUARA,HUARA
3V,1,289,19,6.57,GIMNASIO MUNICIPAL TECHADO DE HUARA,HUARA,HUARA
4V,1,293,28,9.56,GIMNASIO MUNICIPAL TECHADO DE HUARA,HUARA,HUARA
5V,1,285,16,5.61,GIMNASIO MUNICIPAL TECHADO DE HUARA,HUARA,HUARA
6V,1,255,17,6.67,GIMNASIO MUNICIPAL TECHADO DE HUARA,HUARA,HUARA
7V,1,252,24,9.52,GIMNASIO MUNICIPAL TECHADO DE HUARA,HUARA,HUARA
8V,1,259,23,8.88,GIMNASIO MUNICIPAL TECHADO DE HUARA,HUARA,HUARA
9V,1,240,37,15.42,GIMNASIO MUNICIPAL TECHADO DE HUARA,HUARA,HUARA
10V,1,273,34,12.45,GIMNASIO MUNICIPAL TECHADO DE HUARA,HUARA,HUARA
13V-15,1,450,90,20.0,GIMNASIO MUNICIPAL TECHADO DE HUARA,HUARA,HUARA
1M-9M,1,445,92,20.67,LICEO DE HUARA,HUARA,HUARA
2M-12V,1,445,98,22.02,LICEO DE HUARA,HUARA,HUARA
3M,1,301,38,12.62,LICEO DE HUARA,HUARA,HUARA
4M,1,297,17,5.72,LICEO DE HUARA,HUARA,HUARA
5M,1,284,21,7.39,LICEO DE HUARA,HUARA,HUARA
6M,1,298,20,6.71,LICEO DE HUARA,HUARA,HUARA
7M-18,1,430,76,17.67,LICEO DE HUARA,HUARA,HUARA
8M-16,1,445,72,16.18,LICEO DE HUARA,HUARA,HUARA
10M-11V,1,443,84,18.96,LICEO DE HUARA,HUARA,HUARA
11M-17,1,439,74,16.86,LICEO DE HUARA,HUARA,HUARA
14,1,322,1,0.31,LICEO DE HUARA,HUARA,HUARA
1,1,334,121,36.23,ESCUELA PISAGUA,HUARA,PISAGUA
1,1,281,98,34.88,ESCUELA BASICA FRONTERIZA,HUARA,SAN LORENZO DE TARAPACA
2,1,276,102,36.96,ESCUELA BASICA FRONTERIZA,HUARA,SAN LORENZO DE TARAPACA
3,1,277,99,35.74,ESCUELA BASICA FRONTERIZA,HUARA,SAN LORENZO DE TARAPACA
4,1,274,89,32.48,ESCUELA BASICA FRONTERIZA,HUARA,SAN LORENZO DE TARAPACA
1-2,1,415,200,48.19,ESCUELA BASICA DE CHANAVAYITA,IQUIQUE,CHANAVAYITA
121V,1,250,108,43.2,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE
122V,1,256,113,44.14,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE
123V,1,251,133,52.99,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE
124V,1,259,137,52.9,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE
125V,1,269,123,45.72,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE
126V,1,259,124,47.88,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE
127V,1,260,127,48.85,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE
128V,1,246,134,54.47,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE
129V,1,250,131,52.4,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE
130V,1,242,111,45.87,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE
131V,1,261,128,49.04,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE
132V,1,262,138,52.67,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE
133V,1,238,97,40.76,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE
134V,1,231,109,47.19,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE
135V,1,262,136,51.91,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE
136V,1,252,126,50.0,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE
137V,1,255,124,48.63,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE
138V,1,253,118,46.64,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE
139V,1,254,107,42.13,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE
140V,1,250,71,28.4,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE
158M,1,247,127,51.42,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE
159M,1,248,128,51.61,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE
160M,1,243,131,53.91,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE
161M,1,235,129,54.89,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE
162M,1,239,110,46.03,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE
163M,1,251,122,48.61,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE
164M-230V,1,448,219,48.88,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE
165M,1,239,111,46.44,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE
166M,1,240,108,45.0,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE
167M-239,1,450,231,51.33,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE
168M,1,237,118,49.79,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE
169M,1,252,137,54.37,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE
170M,1,248,123,49.6,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE
171M,1,249,133,53.41,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE
172M,1,235,111,47.23,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE
173M-262,1,448,194,43.3,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE
174M,1,248,107,43.15,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE
175M,1,248,111,44.76,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE
176M,1,242,104,42.98,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE
177M,1,242,118,48.76,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE
98M,1,277,124,44.77,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE
99M,1,262,111,42.37,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE
100M,1,249,102,40.96,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE
101M,1,249,119,47.79,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE
