MESA,TOTALMESAS,ELECTORES,EMITIDOS,PORCENTAJE,COLEGIO,COMUNA,CIRCUNSCRIPCION
18M,1,344,174,50.58,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO
19M,1,343,189,55.1,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO
20M,1,337,178,52.82,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO
21M,1,343,181,52.77,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO
22M,1,339,183,53.98,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO
23M,1,342,174,50.88,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO
24M,1,341,166,48.68,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO
25M,1,342,193,56.43,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO
26M,1,339,179,52.8,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO
27M,1,332,165,49.7,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO
27V,1,341,160,46.92,COLEGIO MARISTA HERMANO FERNANDO,ALTO HOSPICIO,ALTO HOSPICIO
28V,1,344,168,48.84,COLEGIO MARISTA HERMANO FERNANDO,ALTO HOSPICIO,ALTO HOSPICIO
29V,1,341,167,48.97,COLEGIO MARISTA HERMANO FERNANDO,ALTO HOSPICIO,ALTO HOSPICIO
30V,1,342,182,53.22,COLEGIO MARISTA HERMANO FERNANDO,ALTO HOSPICIO,ALTO HOSPICIO
31V,1,333,159,47.75,COLEGIO MARISTA HERMANO FERNANDO,ALTO HOSPICIO,ALTO HOSPICIO
32V,1,341,143,41.94,COLEGIO MARISTA HERMANO FERNANDO,ALTO HOSPICIO,ALTO HOSPICIO
38,1,322,104,32.3,COLEGIO MARISTA HERMANO FERNANDO,ALTO HOSPICIO,ALTO HOSPICIO
39,1,323,97,30.03,COLEGIO MARISTA HERMANO FERNANDO,ALTO HOSPICIO,ALTO HOSPICIO
40,1,332,119,35.84,COLEGIO MARISTA HERMANO FERNANDO,ALTO HOSPICIO,ALTO HOSPICIO
41,1,335,126,37.61,COLEGIO MARISTA HERMANO FERNANDO,ALTO HOSPICIO,ALTO HOSPICIO
42,1,335,115,34.33,COLEGIO MARISTA HERMANO FERNANDO,ALTO HOSPICIO,ALTO HOSPICIO
43,1,338,111,32.84,COLEGIO MARISTA HERMANO FERNANDO,ALTO HOSPICIO,ALTO HOSPICIO
44,1,328,126,38.41,COLEGIO MARISTA HERMANO FERNANDO,ALTO HOSPICIO,ALTO HOSPICIO
45,1,338,124,36.69,COLEGIO MARISTA HERMANO FERNANDO,ALTO HOSPICIO,ALTO HOSPICIO
46,1,339,106,31.27,COLEGIO MARISTA HERMANO FERNANDO,ALTO HOSPICIO,ALTO HOSPICIO
47,1,329,117,35.56,COLEGIO MARISTA HERMANO FERNANDO,ALTO HOSPICIO,ALTO HOSPICIO
48,1,329,118,35.87,COLEGIO MARISTA HERMANO FERNANDO,ALTO HOSPICIO,ALTO HOSPICIO
49,1,339,126,37.17,COLEGIO MARISTA HERMANO FERNANDO,ALTO HOSPICIO,ALTO HOSPICIO
104,1,345,183,53.04,COLEGIO METODISTA WILLIAM TAYLOR,ALTO HOSPICIO,ALTO HOSPICIO
105,1,335,150,44.78,COLEGIO METODISTA WILLIAM TAYLOR,ALTO HOSPICIO,ALTO HOSPICIO
106,1,344,140,40.7,COLEGIO METODISTA WILLIAM TAYLOR,ALTO HOSPICIO,ALTO HOSPICIO
107,1,340,132,38.82,COLEGIO METODISTA WILLIAM TAYLOR,ALTO HOSPICIO,ALTO HOSPICIO
108,1,342,123,35.96,COLEGIO METODISTA WILLIAM TAYLOR,ALTO HOSPICIO,ALTO HOSPICIO
109,1,343,166,48.4,COLEGIO METODISTA WILLIAM TAYLOR,ALTO HOSPICIO,ALTO HOSPICIO
110,1,344,150,43.6,COLEGIO METODISTA WILLIAM TAYLOR,ALTO HOSPICIO,ALTO HOSPICIO
111,1,335,129,38.51,COLEGIO METODISTA WILLIAM TAYLOR,ALTO HOSPICIO,ALTO HOSPICIO
112,1,339,141,41.59,COLEGIO METODISTA WILLIAM TAYLOR,ALTO HOSPICIO,ALTO HOSPICIO
113,1,338,123,36.39,COLEGIO METODISTA WILLIAM TAYLOR,ALTO HOSPICIO,ALTO HOSPICIO
114,1,337,150,44.51,COLEGIO METODISTA WILLIAM TAYLOR,ALTO HOSPICIO,ALTO HOSPICIO
115,1,338,151,44.67,COLEGIO METODISTA WILLIAM TAYLOR,ALTO HOSPICIO,ALTO HOSPICIO
116,1,343,153,44.61,COLEGIO METODISTA WILLIAM TAYLOR,ALTO HOSPICIO,ALTO HOSPICIO
117,1,342,164,47.95,COLEGIO METODISTA WILLIAM TAYLOR,ALTO HOSPICIO,ALTO HOSPICIO
118,1,340,109,32.06,COLEGIO METODISTA WILLIAM TAYLOR,ALTO HOSPICIO,ALTO HOSPICIO
119,1,349,152,43.55,COLEGIO METODISTA WILLIAM TAYLOR,ALTO HOSPICIO,ALTO HOSPICIO
120,1,340,196,57.65,COLEGIO METODISTA WILLIAM TAYLOR,ALTO HOSPICIO,ALTO HOSPICIO
121,1,338,186,55.03,COLEGIO METODISTA WILLIAM TAYLOR,ALTO HOSPICIO,ALTO HOSPICIO
68,1,339,167,49.26,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO
69,1,337,143,42.43,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO
70,1,343,154,44.9,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO
71,1,338,150,44.38,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO
72,1,335,154,45.97,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO
73,1,334,137,41.02,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO
74,1,339,162,47.79,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO
75,1,335,141,42.09,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO
76,1,339,150,44.25,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO
77,1,337,173,51.34,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO
78,1,340,170,50.0,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO
79,1,335,145,43.28,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO
80,1,329,129,39.21,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO
81,1,338,150,44.38,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO
82,1,339,159,46.9,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO
83,1,336,164,48.81,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO
84,1,333,167,50.15,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO
85,1,339,149,43.95,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO
