MESA,TOTALMESAS,ELECTORES,EMITIDOS,PORCENTAJE,COLEGIO,COMUNA,CIRCUNSCRIPCION,APRUEBO,RECHAZO
70,1,343,154,44.9,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO,141,13
71,1,338,150,44.38,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO,135,15
72,1,335,154,45.97,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO,137,16
73,1,334,137,41.02,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO,115,21
74,1,339,162,47.79,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO,141,21
75,1,335,141,42.09,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO,141,21
76,1,339,150,44.25,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO,121,20
77,1,337,173,51.34,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO,156,16
78,1,340,170,50.0,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO,152,18
79,1,335,145,43.28,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO,117,28
80,1,329,129,39.21,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO,113,16
81,1,338,150,44.38,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO,140,10
82,1,339,159,46.9,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO,143,16
83,1,336,164,48.81,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO,135,29
84,1,333,167,50.15,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO,131,34
85,1,339,149,43.95,COLEGIO NAZARET,ALTO HOSPICIO,ALTO HOSPICIO,115,33
122,1,348,140,40.23,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO,116,23
123,1,342,157,45.91,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO,130,27
124,1,345,156,45.22,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO,136,20
125,1,343,145,42.27,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO,119,26
126,1,345,139,40.29,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO,107,31
127,1,349,159,45.56,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO,130,28
128,1,346,162,46.82,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO,144,17
129,1,343,152,44.31,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO,130,22
130,1,348,161,46.26,COLEGIO SAGRADO CORAZÓN DE JESUS,ALTO HOSPICIO,ALTO HOSPICIO,128,28
