MESA,TOTALMESAS,ELECTORES,EMITIDOS,PORCENTAJE,COLEGIO,COMUNA,CIRCUNSCRIPCION,APRUEBO,RECHAZO
138V,1,253,118,46.64,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE,97,22
139V,1,254,107,42.13,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE,69,31
140V,1,250,71,28.4,CASA DEL DEPORTISTA,IQUIQUE,IQUIQUE,85,25
158M,1,247,127,51.42,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE,100,26
159M,1,248,128,51.61,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE,104,23
160M,1,243,131,53.91,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE,98,33
161M,1,235,129,54.89,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE,109,20
162M,1,239,110,46.03,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE,89,21
163M,1,251,122,48.61,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE,104,18
164M-230V,1,448,219,48.88,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE,168,50
165M,1,239,111,46.44,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE,98,12
166M,1,240,108,45.0,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE,88,20
167M-239,1,450,231,51.33,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE,173,58
168M,1,237,118,49.79,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE,98,20
169M,1,252,137,54.37,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE,107,28
170M,1,248,123,49.6,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE,101,21
171M,1,249,133,53.41,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE,106,27
172M,1,235,111,47.23,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE,94,17
173M-262,1,448,194,43.3,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE,142,52
174M,1,248,107,43.15,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE,78,28
175M,1,248,111,44.76,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE,91,20
176M,1,242,104,42.98,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE,81,23
177M,1,242,118,48.76,COLEGIO ACADEMIA TARAPACA,IQUIQUE,IQUIQUE,92,25
98M,1,277,124,44.77,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE,107,15
99M,1,262,111,42.37,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE,78,33
100M,1,249,102,40.96,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE,91,10
101M,1,249,119,47.79,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE,95,23
102M,1,260,120,46.15,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE,97,23
103M,1,268,122,45.52,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE,99,23
104M,1,260,137,52.69,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE,104,28
105M,1,260,116,44.62,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE,99,17
106M,1,255,109,42.75,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE,84,25
107M,1,270,121,44.81,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE,96,25
108M,1,279,124,44.44,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE,96,28
109M,1,252,118,46.83,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE,95,20
110M,1,275,133,48.36,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE,108,24
111M,1,262,132,50.38,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE,105,26
112M,1,244,106,43.44,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE,85,21
113M,1,264,113,42.8,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE,84,28
114M,1,241,102,42.32,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE,74,28
115M,1,263,123,46.77,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE,102,21
116M,1,265,127,47.92,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE,106,21
117M,1,269,144,53.53,COLEGIO DIOCESANO OBISPO LABBE,IQUIQUE,IQUIQUE,110,33
202V,1,254,120,47.24,COLEGIO INGLES,IQUIQUE,IQUIQUE,91,29
203V,1,245,125,51.02,COLEGIO INGLES,IQUIQUE,IQUIQUE,85,38
204V,1,263,139,52.85,COLEGIO INGLES,IQUIQUE,IQUIQUE,104,35
205V,1,240,121,50.42,COLEGIO INGLES,IQUIQUE,IQUIQUE,83,38
206V,1,243,138,56.79,COLEGIO INGLES,IQUIQUE,IQUIQUE,111,26
207V,1,244,114,46.72,COLEGIO INGLES,IQUIQUE,IQUIQUE,81,33
208V,1,245,130,53.06,COLEGIO INGLES,IQUIQUE,IQUIQUE,92,38
209V,1,230,120,52.17,COLEGIO INGLES,IQUIQUE,IQUIQUE,108,12
210V,1,238,126,52.94,COLEGIO INGLES,IQUIQUE,IQUIQUE,94,32
211V,1,260,123,47.31,COLEGIO INGLES,IQUIQUE,IQUIQUE,88,34
212V,1,269,118,43.87,COLEGIO INGLES,IQUIQUE,IQUIQUE,89,28
213V,1,229,107,46.72,COLEGIO INGLES,IQUIQUE,IQUIQUE,80,27
214V,1,239,134,56.07,COLEGIO INGLES,IQUIQUE,IQUIQUE,91,42
216V,1,246,138,56.1,COLEGIO INGLES,IQUIQUE,IQUIQUE,105,32
217V,1,227,120,52.86,COLEGIO INGLES,IQUIQUE,IQUIQUE,81,38
218V,1,237,136,57.38,COLEGIO INGLES,IQUIQUE,IQUIQUE,104,32
219V,1,239,116,48.54,COLEGIO INGLES,IQUIQUE,IQUIQUE,100,16
220V,1,236,111,47.03,COLEGIO INGLES,IQUIQUE,IQUIQUE,83,28
221V,1,237,124,52.32,COLEGIO INGLES,IQUIQUE,IQUIQUE,91,33
222V-228V,1,450,232,51.56,COLEGIO INGLES,IQUIQUE,IQUIQUE,152,79
50V,1,266,118,44.36,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE,93,25
51V,1,269,124,46.1,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE,102,22
52V,1,261,116,44.44,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE,84,31
53V,1,263,130,49.43,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE,100,30
54V,1,273,125,45.79,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE,97,26
55V,1,264,112,42.42,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE,93,19
56V,1,271,129,47.6,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE,95,34
57V,1,259,109,42.08,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE,84,25
58V,1,259,120,46.33,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE,93,24
59V,1,265,120,45.28,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE,93,23
60V,1,265,130,49.06,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE,99,28
61V,1,274,137,50.0,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE,110,27
62V,1,268,133,49.63,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE,113,20
63V,1,247,101,40.89,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE,78,22
64V,1,262,116,44.27,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE,88,28
65V,1,270,126,46.67,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE,103,23
66V,1,262,130,49.62,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE,99,37
67V,1,255,108,42.35,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE,84,24
68V,1,264,118,44.7,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE,93,24
69V,1,264,144,54.55,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,IQUIQUE,118,26
86V,1,257,127,49.42,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE,105,22
87V,1,267,145,54.31,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE,116,27
88V,1,259,136,52.51,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE,116,20
89V,1,277,146,52.71,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE,122,19
90V,1,272,134,49.26,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE,104,27
91V,1,251,127,50.6,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE,100,26
92V,1,248,107,43.15,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE,81,25
93V,1,261,127,48.66,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE,98,29
94V,1,253,126,49.8,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE,94,32
95V,1,267,124,46.44,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE,106,17
96V,1,264,125,47.35,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE,107,18
97V,1,231,125,54.11,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE,101,24
98V,1,262,120,45.8,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE,98,18
99V,1,261,121,46.36,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE,96,25
100V,1,271,137,50.55,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE,118,17
101V,1,276,148,53.62,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE,119,26
102V,1,250,130,52.0,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE,98,32
103V,1,258,130,50.39,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE,109,20
104V,1,260,126,48.46,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE,106,20
105V,1,249,114,45.78,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,IQUIQUE,96,17
161V,1,262,86,32.82,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE,56,28
162V,1,266,94,35.34,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE,72,22
163V,1,253,81,32.02,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE,50,30
164V,1,280,94,33.57,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE,66,27
165V,1,265,85,32.08,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE,63,21
166V,1,270,76,28.15,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE,52,24
167V,1,270,96,35.56,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE,62,34
168V,1,278,84,30.22,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE,69,15
169V,1,273,96,35.16,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE,73,23
170V,1,279,84,30.11,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE,55,29
171V,1,281,96,34.16,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE,67,29
172V,1,267,90,33.71,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE,65,25
173V,1,261,98,37.55,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE,65,32
174V,1,248,130,52.42,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE,94,36
175V,1,237,123,51.9,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE,86,34
176V,1,253,130,51.38,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE,96,33
177V,1,227,118,51.98,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE,86,32
178V,1,229,117,51.09,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE,97,20
180V,1,246,93,37.8,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE,65,28
181V,1,249,131,52.61,COLEGIO SALESIANO DON BOSCO IQUIQUE,IQUIQUE,IQUIQUE,96,33
141V,1,272,115,42.28,CORONA SCHOOL,IQUIQUE,IQUIQUE,99,14
142V,1,296,106,35.81,CORONA SCHOOL,IQUIQUE,IQUIQUE,80,26
143V,1,295,117,39.66,CORONA SCHOOL,IQUIQUE,IQUIQUE,85,31
144V,1,274,99,36.13,CORONA SCHOOL,IQUIQUE,IQUIQUE,66,30
145V,1,268,93,34.7,CORONA SCHOOL,IQUIQUE,IQUIQUE,69,24
146V,1,284,107,37.68,CORONA SCHOOL,IQUIQUE,IQUIQUE,86,20
147V,1,271,87,32.1,CORONA SCHOOL,IQUIQUE,IQUIQUE,60,26
148V,1,277,102,36.82,CORONA SCHOOL,IQUIQUE,IQUIQUE,73,29
149V,1,264,100,37.88,CORONA SCHOOL,IQUIQUE,IQUIQUE,77,23
150V,1,261,93,35.63,CORONA SCHOOL,IQUIQUE,IQUIQUE,78,15
151V,1,271,89,32.84,CORONA SCHOOL,IQUIQUE,IQUIQUE,69,18
152V,1,264,96,36.36,CORONA SCHOOL,IQUIQUE,IQUIQUE,72,22
153V,1,276,88,31.88,CORONA SCHOOL,IQUIQUE,IQUIQUE,57,31
154V,1,275,100,36.36,CORONA SCHOOL,IQUIQUE,IQUIQUE,67,32
155V,1,269,87,32.34,CORONA SCHOOL,IQUIQUE,IQUIQUE,68,18
156V,1,272,97,35.66,CORONA SCHOOL,IQUIQUE,IQUIQUE,64,30
157V,1,271,103,38.01,CORONA SCHOOL,IQUIQUE,IQUIQUE,69,33
158V,1,261,87,33.33,CORONA SCHOOL,IQUIQUE,IQUIQUE,65,21
159V,1,257,87,33.85,CORONA SCHOOL,IQUIQUE,IQUIQUE,65,22
160V,1,279,91,32.62,CORONA SCHOOL,IQUIQUE,IQUIQUE,67,24
61M,1,278,130,46.76,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE,106,24
62M,1,263,120,45.63,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE,101,19
63M,1,271,125,46.13,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE,105,19
64M,1,253,115,45.45,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE,89,26
65M,1,246,101,41.06,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE,73,27
66M,1,270,121,44.81,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE,89,30
67M,1,265,120,45.28,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE,99,21
68M,1,260,122,46.92,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE,109,13
69M,1,253,125,49.41,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE,98,27
70M,1,244,116,47.54,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE,81,34
71M,1,253,113,44.66,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE,92,21
72M,1,278,133,47.84,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE,91,42
73M,1,264,113,42.8,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE,94,19
74M,1,282,107,37.94,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE,80,26
75M,1,273,131,47.99,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE,100,31
76M,1,282,133,47.16,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE,97,35
77M,1,270,128,47.41,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE,90,38
78M,1,264,120,45.45,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE,91,29
79M,1,252,120,47.62,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE,96,23
80M,1,265,124,46.79,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE,94,30
223V,1,245,96,39.18,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE,63,33
224V,1,266,112,42.11,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE,63,33
225V,1,251,132,52.59,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE,86,25
226V,1,245,123,50.2,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE,96,36
229V,1,225,127,56.44,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE,91,36
231V,1,234,115,49.15,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE,87,27
232V,1,248,127,51.21,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE,91,36
233V,1,242,124,51.24,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE,88,36
234V,1,246,137,55.69,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE,100,37
235V,1,238,129,54.2,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE,85,43
236V,1,252,145,57.54,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE,111,33
237V,1,233,119,51.07,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE,94,25
238V,1,238,122,51.26,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE,106,15
240,1,240,109,45.42,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE,91,18
241,1,226,100,44.25,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE,82,18
242,1,233,115,49.36,ESCUELA ARTISTICA VIOLETA PARRA,IQUIQUE,IQUIQUE,102,10
30V,1,269,140,52.04,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE,106,34
31V,1,254,124,48.82,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE,92,32
32V,1,249,121,48.59,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE,92,28
33V,1,263,140,53.23,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE,116,24
34V,1,264,132,50.0,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE,103,28
35V,1,254,112,44.09,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE,88,24
36V,1,254,115,45.28,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE,85,27
37V,1,268,113,42.16,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE,97,16
38V,1,267,129,48.31,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE,103,25
39V,1,244,98,40.16,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE,79,19
40V,1,259,115,44.4,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE,91,24
41V,1,254,125,49.21,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE,98,24
42V,1,262,137,52.29,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE,108,27
43V,1,265,132,49.81,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE,99,33
44V,1,239,116,48.54,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE,87,28
45V,1,276,115,41.67,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE,83,30
46V,1,263,117,44.49,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE,86,31
47V,1,265,101,38.11,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE,76,25
48V,1,255,120,47.06,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE,91,26
49V,1,254,122,48.03,ESCUELA CENTENARIO,IQUIQUE,IQUIQUE,94,28
81M,1,247,115,46.56,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE,93,22
82M,1,264,127,48.11,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE,102,24
83M,1,274,117,42.7,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE,92,25
84M,1,261,123,47.13,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE,90,31
85M,1,254,124,48.82,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE,99,25
86M,1,267,100,37.45,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE,76,24
87M,1,271,119,43.91,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE,84,34
88M,1,259,116,44.79,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE,83,33
89M,1,263,121,46.01,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE,88,33
90M,1,259,140,54.05,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE,105,35
91M,1,261,123,47.13,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE,102,21
92M,1,271,132,48.71,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE,102,28
93M,1,258,123,47.67,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE,94,28
94M,1,257,110,42.8,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE,83,26
95M,1,269,137,50.93,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE,110,27
96M,1,260,121,46.54,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE,96,25
97M,1,263,127,48.29,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE,98,29
106V,1,257,111,43.19,ESCUELA ESPECIAL FLOR DEL INCA,IQUIQUE,IQUIQUE,92,17
107V,1,256,110,42.97,ESCUELA ESPECIAL FLOR DEL INCA,IQUIQUE,IQUIQUE,98,12
108V,1,252,131,51.98,ESCUELA ESPECIAL FLOR DEL INCA,IQUIQUE,IQUIQUE,108,23
109V,1,258,132,51.16,ESCUELA ESPECIAL FLOR DEL INCA,IQUIQUE,IQUIQUE,111,20
110V,1,262,144,54.96,ESCUELA ESPECIAL FLOR DEL INCA,IQUIQUE,IQUIQUE,127,17
111V,1,261,128,49.04,ESCUELA ESPECIAL FLOR DEL INCA,IQUIQUE,IQUIQUE,111,17
112V,1,261,148,56.7,ESCUELA ESPECIAL FLOR DEL INCA,IQUIQUE,IQUIQUE,120,28
113V,1,260,116,44.62,ESCUELA ESPECIAL FLOR DEL INCA,IQUIQUE,IQUIQUE,91,24
114V,1,258,127,49.22,ESCUELA ESPECIAL FLOR DEL INCA,IQUIQUE,IQUIQUE,100,25
115V,1,265,126,47.55,ESCUELA ESPECIAL FLOR DEL INCA,IQUIQUE,IQUIQUE,97,29
116V,1,260,122,46.92,ESCUELA ESPECIAL FLOR DEL INCA,IQUIQUE,IQUIQUE,99,23
117V,1,263,137,52.09,ESCUELA ESPECIAL FLOR DEL INCA,IQUIQUE,IQUIQUE,114,22
118V,1,260,134,51.54,ESCUELA ESPECIAL FLOR DEL INCA,IQUIQUE,IQUIQUE,105,29
119V,1,266,129,48.5,ESCUELA ESPECIAL FLOR DEL INCA,IQUIQUE,IQUIQUE,104,24
120V,1,247,114,46.15,ESCUELA ESPECIAL FLOR DEL INCA,IQUIQUE,IQUIQUE,94,19
11V,1,261,112,42.91,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE,80,32
12V,1,265,110,41.51,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE,73,36
13V,1,262,101,38.55,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE,74,25
14V,1,267,108,40.45,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE,79,29
15V,1,257,116,45.14,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE,90,26
16V,1,267,127,47.57,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE,95,32
17V,1,264,109,41.29,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE,81,28
18V,1,265,121,45.66,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE,84,37
19V,1,241,106,43.98,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE,65,39
20V,1,257,117,45.53,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE,86,31
21V,1,272,114,41.91,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE,95,18
22V,1,277,138,49.82,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE,94,43
23V,1,257,108,42.02,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE,71,35
24V,1,257,128,49.81,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE,108,20
25V,1,260,115,44.23,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE,108,20
26V,1,254,120,47.24,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE,87,27
27V,1,270,116,42.96,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE,89,31
28V,1,255,117,45.88,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE,83,34
29V,1,263,111,42.21,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE,87,24
41M,1,270,128,47.41,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE,99,26
42M,1,283,122,43.11,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE,98,24
43M,1,274,115,41.97,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE,89,25
44M,1,255,103,40.39,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE,70,33
45M,1,253,121,47.83,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE,93,27
46M,1,279,130,46.59,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE,107,23
47M,1,270,117,43.33,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE,105,12
48M,1,246,117,47.56,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE,88,27
49M,1,267,123,46.07,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE,97,26
50M,1,260,121,46.54,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE,92,27
51M,1,270,134,49.63,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,IQUIQUE,104,30
